powiat,label_pl,label_en
http://www.wikidata.org/entity/Q83395,powiat olsztyński,Olsztyn County
http://www.wikidata.org/entity/Q636625,powiat bolesławiecki,Bolesławiec County
http://www.wikidata.org/entity/Q1125759,powiat sieradzki,Sieradz County
http://www.wikidata.org/entity/Q637018,powiat jeleniogórski,Jelenia Góra County
http://www.wikidata.org/entity/Q1340642,powiat tarnowski,Tarnów County
http://www.wikidata.org/entity/Q1125769,powiat augustowski,Augustów County
http://www.wikidata.org/entity/Q1341069,powiat tczewski,Tczew County
http://www.wikidata.org/entity/Q101575,powiat poznański,Poznań County
http://www.wikidata.org/entity/Q636686,powiat dzierżoniowski,Dzierżoniów County
http://www.wikidata.org/entity/Q117563,powiat giżycki,Giżycko County
http://www.wikidata.org/entity/Q1341082,powiat sztumski,Sztum County
http://www.wikidata.org/entity/Q1125777,powiat łomżyński,Łomża County
http://www.wikidata.org/entity/Q637105,powiat jaworski,Jawor County
http://www.wikidata.org/entity/Q636757,powiat górowski,Góra County
http://www.wikidata.org/entity/Q119729,powiat pińczowski,Pińczów County
http://www.wikidata.org/entity/Q657314,powiat średzki,Środa Śląska County
http://www.wikidata.org/entity/Q1125923,powiat siemiatycki,Siemiatycze County
http://www.wikidata.org/entity/Q120033,powiat staszowski,Staszów County
http://www.wikidata.org/entity/Q133241,powiat nowotomyski,Nowy Tomyśl County
http://www.wikidata.org/entity/Q125413,powiat hrubieszowski,Hrubieszów County
http://www.wikidata.org/entity/Q1126256,powiat hajnowski,Hajnówka County
http://www.wikidata.org/entity/Q679412,powiat przemyski,Przemyśl County
http://www.wikidata.org/entity/Q1126261,powiat białostocki,Białystok County
http://www.wikidata.org/entity/Q637226,powiat kamiennogórski,Kamienna Góra County
http://www.wikidata.org/entity/Q1138182,powiat wejherowski,Wejherowo County
http://www.wikidata.org/entity/Q687625,powiat radziejowski,Radziejów County
http://www.wikidata.org/entity/Q133248,powiat rawicki,Rawicz County
http://www.wikidata.org/entity/Q1140489,powiat mikołowski,Mikołów County
http://www.wikidata.org/entity/Q637351,powiat kłodzki,Kłodzko County
http://www.wikidata.org/entity/Q1144081,powiat skierniewicki,Skierniewice County
